 NaN                     -1.133333333333333E-002 NaN                    
 -1.133333333333333E-002 NaN                    
 -1.126666666666667E-002 NaN                     -1.126666666666667E-002
 NaN                     -1.126666666666667E-002 NaN                    
 -1.126666666666667E-002 NaN                    
 -1.120000000000000E-002 NaN                     -1.120000000000000E-002
 NaN                     -1.120000000000000E-002 NaN                    
 -1.120000000000000E-002 NaN                    
 -1.113333333333333E-002 NaN                     -1.113333333333333E-002
 NaN                     -1.113333333333333E-002 NaN                    
 -1.113333333333333E-002 NaN                    
 -1.106666666666667E-002 NaN                     -1.106666666666667E-002
 NaN                     -1.106666666666667E-002 NaN                    
 -1.106666666666667E-002 NaN                    
 -1.100000000000000E-002 NaN                     -1.100000000000000E-002
 NaN                     -1.100000000000000E-002 NaN                    
 -1.100000000000000E-002 NaN                    
 -1.093333333333333E-002 NaN                     -1.093333333333333E-002
 NaN                     -1.093333333333333E-002 NaN                    
 -1.093333333333333E-002 NaN                    
 -1.086666666666667E-002 NaN                     -1.086666666666667E-002
 NaN                     -1.086666666666667E-002 NaN                    
 -1.086666666666667E-002 NaN                    
 -1.080000000000000E-002 NaN                     -1.080000000000000E-002
 NaN                     -1.080000000000000E-002 NaN                    
 -1.080000000000000E-002 NaN                    
 -1.073333333333333E-002 NaN                     -1.073333333333333E-002
 NaN                     -1.073333333333333E-002 NaN                    
 -1.073333333333333E-002 NaN                    
 -1.066666666666667E-002 NaN                     -1.066666666666667E-002
 NaN                     -1.066666666666667E-002 NaN                    
 -1.066666666666667E-002 NaN                    
 -1.060000000000000E-002 NaN                     -1.060000000000000E-002
 NaN                     -1.060000000000000E-002 NaN                    
 -1.060000000000000E-002 NaN                    
 -1.053333333333333E-002 NaN                     -1.053333333333333E-002
 NaN                     -1.053333333333333E-002 NaN                    
 -1.053333333333333E-002 NaN                    
 -1.046666666666667E-002 NaN                     -1.046666666666667E-002
 NaN                     -1.046666666666667E-002 NaN                    
 -1.046666666666667E-002 NaN                    
 -1.040000000000000E-002 NaN                     -1.040000000000000E-002
 NaN                     -1.040000000000000E-002 NaN                    
 -1.040000000000000E-002 NaN                    
 -1.033333333333333E-002 NaN                     -1.033333333333333E-002
 NaN                     -1.033333333333333E-002 NaN                    
 -1.033333333333333E-002 NaN                    
 -1.026666666666667E-002 NaN                     -1.026666666666667E-002
 NaN                     -1.026666666666667E-002 NaN                    
 -1.026666666666667E-002 NaN                    
 -1.020000000000000E-002 NaN                     -1.020000000000000E-002
 NaN                     -1.020000000000000E-002 NaN                    
 -1.020000000000000E-002 NaN                    
 -1.013333333333333E-002 NaN                     -1.013333333333333E-002
 NaN                     -1.013333333333333E-002 NaN                    
 -1.013333333333333E-002 NaN                    
 -1.006666666666667E-002 NaN                     -1.006666666666667E-002
 NaN                     -1.006666666666667E-002 NaN                    
 -1.006666666666667E-002 NaN                    
 -9.999999999999998E-003 NaN                     -9.999999999999998E-003
 NaN                     -9.999999999999998E-003 NaN                    
 -9.999999999999998E-003 NaN                    
 -9.933333333333332E-003 NaN                     -9.933333333333332E-003
 NaN                     -9.933333333333332E-003 NaN                    
 -9.933333333333332E-003 NaN                    
 -9.866666666666666E-003 NaN                     -9.866666666666666E-003
